ratinguser,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,ratingprop,good_label,conve_label,impre_label,superb_label,reviewamount,randomrate,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,cleanaccom,landmarknear,,,
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,1,0,1,1,0,1,0,0,1,0,-1,1,Taman Hutan Raya Juanda,,,  0.4  1          0.6               0.75       150      0.13597881  0.9956162  0.08613495
9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  1          0.6               1.00        50      0.33682428  0.9721332  0.22037743
9.7,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  1          0.6               1.00       100      0.22091148  0.9881938  0.14202058
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,2,0,0,3,0,1,3,0,3,3,1,Taman Hutan Raya Juanda,,,  0.4  1          0.6               1.00       150      0.16066808  0.9938769  0.10129617
8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               0.50        50      0.27239899  0.9814488  0.17841128
8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,1,1,0,0,2,0,2,4,0,7,7,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               0.50       100      0.16354865  0.9932062  0.09784760
9,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,1,0,0,0,0,0,0,1,0,2,2,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               0.50       150      0.11288833  0.9968406  0.06549232
9.4,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               0.75        50      0.23562528  0.9855878  0.15178325
6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,1,1,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               0.75       100      0.14677192  0.9943041  0.09397051
9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,0,0,0,0,0,1,Taman Hutan Raya Juanda,,,  0.4  1          0.8               0.75       150      0.09984336  0.9973270  0.06206558
